name,flag,program,imo,mmsi,source,risk_category
PRIMA TANGGUH LVI,id,Tokyo MOU (rétentions Asie-Pacifique),9223253,,OpenSanctions,psc_detained
POAVOSA WISDOM VIII,pa,Tokyo MOU (rétentions Asie-Pacifique),9641924,,OpenSanctions,psc_detained
AM OCEAN PRIDE,mh,Tokyo MOU (rétentions Asie-Pacifique),9427330,,OpenSanctions,psc_detained
IBRA LNG,pa,Tokyo MOU (rétentions Asie-Pacifique),9326689,,OpenSanctions,psc_detained
SEA OPAL,pa,Tokyo MOU (rétentions Asie-Pacifique),9584619,,OpenSanctions,psc_detained
MSC MARGARITA,lr,Tokyo MOU (rétentions Asie-Pacifique),9238741,,OpenSanctions,psc_detained
HAI DA 77,pa,Tokyo MOU (rétentions Asie-Pacifique),8357851,,OpenSanctions,psc_detained
DREAM WAVE,sl,Tokyo MOU (rétentions Asie-Pacifique),8693073,,OpenSanctions,psc_detained
SAMMY,pa,Tokyo MOU (rétentions Asie-Pacifique),9582491,,OpenSanctions,psc_detained
SALT LAKE,lr,Tokyo MOU (rétentions Asie-Pacifique),9835977,,OpenSanctions,psc_detained
CLOCK,sl,Tokyo MOU (rétentions Asie-Pacifique),1052476,,OpenSanctions,psc_detained
CESI QINGDAO,hk,Tokyo MOU (rétentions Asie-Pacifique),9672832,,OpenSanctions,psc_detained
SRI WANDARI INDAH,id,Tokyo MOU (rétentions Asie-Pacifique),9213569,,OpenSanctions,psc_detained
VENTURE GRACE,lr,Tokyo MOU (rétentions Asie-Pacifique),9731406,,OpenSanctions,psc_detained
UNI-PATRIOT,pa,Tokyo MOU (rétentions Asie-Pacifique),9202168,,OpenSanctions,psc_detained
STAR ISTIND,no,Tokyo MOU (rétentions Asie-Pacifique),9182954,,OpenSanctions,psc_detained
THAI BINH 12,vn,Tokyo MOU (rétentions Asie-Pacifique),9335434,,OpenSanctions,psc_detained
BBC AUSTRIA,ag,Tokyo MOU (rétentions Asie-Pacifique),9433327,,OpenSanctions,psc_detained
CERES 1,pa,Tokyo MOU (rétentions Asie-Pacifique),9444807,,OpenSanctions,psc_detained
ELITE STAR,pa,Tokyo MOU (rétentions Asie-Pacifique),9336581,,OpenSanctions,psc_detained
NIVAGA III,tv,Tokyo MOU (rétentions Asie-Pacifique),9739707,,OpenSanctions,psc_detained
STAR JUVENTAS,no,Tokyo MOU (rétentions Asie-Pacifique),9254642,,OpenSanctions,psc_detained
SYNERGY KEELUNG,cy,Tokyo MOU (rétentions Asie-Pacifique),9450595,,OpenSanctions,psc_detained
SHENG JIE 7,bz,Tokyo MOU (rétentions Asie-Pacifique),9545493,,OpenSanctions,psc_detained
CALYPSO 7,pa,Tokyo MOU (rétentions Asie-Pacifique),9193733,,OpenSanctions,psc_detained
MSC ODESSA V,pt,Tokyo MOU (rétentions Asie-Pacifique),9456965,,OpenSanctions,psc_detained
ALAM SAYANG,pa,Tokyo MOU (rétentions Asie-Pacifique),9651034,,OpenSanctions,psc_detained
VIMC MIGHTY,vn,Tokyo MOU (rétentions Asie-Pacifique),9335458,,OpenSanctions,psc_detained
ANHUI,pa,Tokyo MOU (rétentions Asie-Pacifique),9861213,,OpenSanctions,psc_detained
EVER ELITE,gb,Tokyo MOU (rétentions Asie-Pacifique),9241281,,OpenSanctions,psc_detained
MAPLE FORTITUDE,hk,Tokyo MOU (rétentions Asie-Pacifique),9587178,,OpenSanctions,psc_detained
INDIGO JUGEM,lr,Tokyo MOU (rétentions Asie-Pacifique),9748497,,OpenSanctions,psc_detained
ANASTASIA,cy,Tokyo MOU (rétentions Asie-Pacifique),9292618,,OpenSanctions,psc_detained
STRAIT MAS,id,Tokyo MOU (rétentions Asie-Pacifique),9252369,,OpenSanctions,psc_detained
GENCO BOURGOGNE,mh,Tokyo MOU (rétentions Asie-Pacifique),9490662,,OpenSanctions,psc_detained
HAVEN MESSENGER,pa,Tokyo MOU (rétentions Asie-Pacifique),9132868,,OpenSanctions,psc_detained
ALTHEA,lr,Tokyo MOU (rétentions Asie-Pacifique),9197117,,OpenSanctions,psc_detained
PORTIA,pa,Tokyo MOU (rétentions Asie-Pacifique),9283980,,OpenSanctions,psc_detained
HOANG HAI 88-ALCI,vn,Tokyo MOU (rétentions Asie-Pacifique),9400710,,OpenSanctions,psc_detained
KMAX EMPEROR,lr,Tokyo MOU (rétentions Asie-Pacifique),9477426,,OpenSanctions,psc_detained
BAO JIA 77,pa,Tokyo MOU (rétentions Asie-Pacifique),8357930,,OpenSanctions,psc_detained
GANG TONG HAI 9,bz,Tokyo MOU (rétentions Asie-Pacifique),8669644,,OpenSanctions,psc_detained
ANGUS EXPRESS,lu,Tokyo MOU (rétentions Asie-Pacifique),9167057,,OpenSanctions,psc_detained
LAUREN OCEAN,pa,Tokyo MOU (rétentions Asie-Pacifique),9117624,,OpenSanctions,psc_detained
AEOLIAN VISION,mh,Tokyo MOU (rétentions Asie-Pacifique),9483554,,OpenSanctions,psc_detained
SAPHIRA,lr,Tokyo MOU (rétentions Asie-Pacifique),9909209,,OpenSanctions,psc_detained
JIN HUA,pa,Tokyo MOU (rétentions Asie-Pacifique),9507178,,OpenSanctions,psc_detained
HANG BO 3002,bz,Tokyo MOU (rétentions Asie-Pacifique),9644938,,OpenSanctions,psc_detained
LUNG YUIN,vu,Tokyo MOU (rétentions Asie-Pacifique),9048603,,OpenSanctions,psc_detained
CRESTED EAGLE,mh,Tokyo MOU (rétentions Asie-Pacifique),9478626,,OpenSanctions,psc_detained
SAINT MARCELLA,cy,Tokyo MOU (rétentions Asie-Pacifique),9248825,,OpenSanctions,psc_detained
UMM AL AMAD,mh,Tokyo MOU (rétentions Asie-Pacifique),9360829,,OpenSanctions,psc_detained
HUA CHEN 26,bz,Tokyo MOU (rétentions Asie-Pacifique),8649620,,OpenSanctions,psc_detained
NOBLE BREEZE,vc,Tokyo MOU (rétentions Asie-Pacifique),9126871,,OpenSanctions,psc_detained
TRUE MARINER,bb,Tokyo MOU (rétentions Asie-Pacifique),9599822,,OpenSanctions,psc_detained
SEACON MANILA,pa,Tokyo MOU (rétentions Asie-Pacifique),9766231,,OpenSanctions,psc_detained
DUBAI ANGEL,mh,Tokyo MOU (rétentions Asie-Pacifique),9422524,,OpenSanctions,psc_detained
MSC SHIVALIKA III,lr,Tokyo MOU (rétentions Asie-Pacifique),9179828,,OpenSanctions,psc_detained
TATEV,pa,Tokyo MOU (rétentions Asie-Pacifique),9288552,,OpenSanctions,psc_detained
OSPREY ARROW,no,Tokyo MOU (rétentions Asie-Pacifique),9687174,,OpenSanctions,psc_detained
VANTAGE DREAM,lr,Tokyo MOU (rétentions Asie-Pacifique),9616606,,OpenSanctions,psc_detained
EMC FIRST,pa,Tokyo MOU (rétentions Asie-Pacifique),9982665,,OpenSanctions,psc_detained
TY GLORIA,kr,Tokyo MOU (rétentions Asie-Pacifique),9472050,,OpenSanctions,psc_detained
EFFICIENCY OL,pa,Tokyo MOU (rétentions Asie-Pacifique),9491666,,OpenSanctions,psc_detained
DUYEN HAI 1,pa,Tokyo MOU (rétentions Asie-Pacifique),9218064,,OpenSanctions,psc_detained
MOZU ARROW,bs,Tokyo MOU (rétentions Asie-Pacifique),8918227,,OpenSanctions,psc_detained
CL GUANGZHOU,lr,Tokyo MOU (rétentions Asie-Pacifique),1021881,,OpenSanctions,psc_detained
HONG FU,pa,Tokyo MOU (rétentions Asie-Pacifique),9651096,,OpenSanctions,psc_detained
HORIZON JADE,hk,Tokyo MOU (rétentions Asie-Pacifique),9579054,,OpenSanctions,psc_detained
ZD LIBRA,vn,Tokyo MOU (rétentions Asie-Pacifique),9560273,,OpenSanctions,psc_detained
WAN LI,pa,Tokyo MOU (rétentions Asie-Pacifique),9172571,,OpenSanctions,psc_detained
AN HAI PEARL,pa,Tokyo MOU (rétentions Asie-Pacifique),9456460,,OpenSanctions,psc_detained
EGE M,lr,Tokyo MOU (rétentions Asie-Pacifique),9323895,,OpenSanctions,psc_detained
JI HANG 56,pa,Tokyo MOU (rétentions Asie-Pacifique),1021910,,OpenSanctions,psc_detained
KARMA,pa,Tokyo MOU (rétentions Asie-Pacifique),9213301,,OpenSanctions,psc_detained
KALIXENOS,mh,Tokyo MOU (rétentions Asie-Pacifique),9460265,,OpenSanctions,psc_detained
UNI GLORY,pa,Tokyo MOU (rétentions Asie-Pacifique),8914051,,OpenSanctions,psc_detained
MING XIANG DA 8,pa,Tokyo MOU (rétentions Asie-Pacifique),9087673,,OpenSanctions,psc_detained
WESTERN QUEEN,sg,Tokyo MOU (rétentions Asie-Pacifique),9690705,,OpenSanctions,psc_detained
MARYLAKI,mh,Tokyo MOU (rétentions Asie-Pacifique),9494010,,OpenSanctions,psc_detained
KOWHAI,pa,Tokyo MOU (rétentions Asie-Pacifique),9882372,,OpenSanctions,psc_detained
MSC IRENE,pa,Tokyo MOU (rétentions Asie-Pacifique),9399040,,OpenSanctions,psc_detained
KASTELLI WAVE,cy,Tokyo MOU (rétentions Asie-Pacifique),9453389,,OpenSanctions,psc_detained
CHEN YANG,sl,Tokyo MOU (rétentions Asie-Pacifique),8649905,,OpenSanctions,psc_detained
LARK,mn,Tokyo MOU (rétentions Asie-Pacifique),8724705,,OpenSanctions,psc_detained
TUFTY,cy,Tokyo MOU (rétentions Asie-Pacifique),9393163,,OpenSanctions,psc_detained
BETEIGEUZE,lr,Tokyo MOU (rétentions Asie-Pacifique),9313280,,OpenSanctions,psc_detained
CHANG DA,sl,Tokyo MOU (rétentions Asie-Pacifique),8890152,,OpenSanctions,psc_detained
ARCTURUS,lr,Tokyo MOU (rétentions Asie-Pacifique),9221334,,OpenSanctions,psc_detained
EASTERN PROSPERITY,pa,Tokyo MOU (rétentions Asie-Pacifique),9383998,,OpenSanctions,psc_detained
PAMPERO,mt,Tokyo MOU (rétentions Asie-Pacifique),9426104,,OpenSanctions,psc_detained
GRAVITY HIGHWAY,bs,Tokyo MOU (rétentions Asie-Pacifique),9672404,,OpenSanctions,psc_detained
STL MIRACLE,lr,Tokyo MOU (rétentions Asie-Pacifique),9317523,,OpenSanctions,psc_detained
HOLSATIA,gb;lr,Tokyo MOU (rétentions Asie-Pacifique),9233856,,OpenSanctions,psc_detained
ADVENTURE,mh,Tokyo MOU (rétentions Asie-Pacifique),9749972,,OpenSanctions,psc_detained
GINGKO,pa,Tokyo MOU (rétentions Asie-Pacifique),9389112,,OpenSanctions,psc_detained
KSL HENGYANG,mh,Tokyo MOU (rétentions Asie-Pacifique),9333931,,OpenSanctions,psc_detained
AL SALMI,pa,Tokyo MOU (rétentions Asie-Pacifique),9298296,,OpenSanctions,psc_detained
LE HAVRE,cy,Tokyo MOU (rétentions Asie-Pacifique),9307243,,OpenSanctions,psc_detained
BULK DENMARK,pa,Tokyo MOU (rétentions Asie-Pacifique),9445772,,OpenSanctions,psc_detained
SI CHOU ZHI LU,sg,Tokyo MOU (rétentions Asie-Pacifique),9562350,,OpenSanctions,psc_detained
AFRICAN PIPER,bs,Tokyo MOU (rétentions Asie-Pacifique),9692777,,OpenSanctions,psc_detained
XIN HAI 99,bz,Tokyo MOU (rétentions Asie-Pacifique),8679364,,OpenSanctions,psc_detained
WOOYANG VICTORY,pa,Tokyo MOU (rétentions Asie-Pacifique),9520223,,OpenSanctions,psc_detained
MEGHNA ROSE,bd,Tokyo MOU (rétentions Asie-Pacifique),9351725,,OpenSanctions,psc_detained
WINCANTON,mh,Tokyo MOU (rétentions Asie-Pacifique),9212462,,OpenSanctions,psc_detained
ORIENTAL ACE,pa,Tokyo MOU (rétentions Asie-Pacifique),9443114,,OpenSanctions,psc_detained
SPETSES SPIRIT,mh,Tokyo MOU (rétentions Asie-Pacifique),9543885,,OpenSanctions,psc_detained
CELANOVA,es,Tokyo MOU (rétentions Asie-Pacifique),9268394,,OpenSanctions,psc_detained
TSUKUBA MARU,pa,Tokyo MOU (rétentions Asie-Pacifique),9524035,,OpenSanctions,psc_detained
DELLA,lr,Tokyo MOU (rétentions Asie-Pacifique),9573828,,OpenSanctions,psc_detained
BARCARENA,mh;no,Tokyo MOU (rétentions Asie-Pacifique),9214147,,OpenSanctions,psc_detained
SHIH CHUAN,sl,Tokyo MOU (rétentions Asie-Pacifique),9523225,,OpenSanctions,psc_detained
WISTARI,vu,Tokyo MOU (rétentions Asie-Pacifique),8112407,,OpenSanctions,psc_detained
TC SAPPHIRE,my,Tokyo MOU (rétentions Asie-Pacifique),9309265,,OpenSanctions,psc_detained
CAP. BERNY B.,ec,Tokyo MOU (rétentions Asie-Pacifique),7826702,,OpenSanctions,psc_detained
HANYU GLORY,kr,Tokyo MOU (rétentions Asie-Pacifique),9253454,,OpenSanctions,psc_detained
NICOLEMY,cy,Tokyo MOU (rétentions Asie-Pacifique),9613094,,OpenSanctions,psc_detained
EASTERN IRIS,hk,Tokyo MOU (rétentions Asie-Pacifique),9514195,,OpenSanctions,psc_detained
TIAN FU 2,pa,Tokyo MOU (rétentions Asie-Pacifique),8671116,,OpenSanctions,psc_detained
VADI,mn,Tokyo MOU (rétentions Asie-Pacifique),9077898,,OpenSanctions,psc_detained
XIN HAI 98,bz,Tokyo MOU (rétentions Asie-Pacifique),8657574,,OpenSanctions,psc_detained
CENGIZ HAN,pw,Tokyo MOU (rétentions Asie-Pacifique),9392418,,OpenSanctions,psc_detained
FESCO DALNEGORSK,lr;sl,Tokyo MOU (rétentions Asie-Pacifique),9237486,,OpenSanctions,psc_detained
VIVA GALAXY,pa,Tokyo MOU (rétentions Asie-Pacifique),9330630,,OpenSanctions,psc_detained
MEGAH ENAM,hk,Tokyo MOU (rétentions Asie-Pacifique),9543275,,OpenSanctions,psc_detained
NEPTUNE LEADER,pa,Tokyo MOU (rétentions Asie-Pacifique),9402744,,OpenSanctions,psc_detained
GAO XIN 16,bz,Tokyo MOU (rétentions Asie-Pacifique),8655992,,OpenSanctions,psc_detained
ORIENTAL APOERA,sl,Tokyo MOU (rétentions Asie-Pacifique),9008055,,OpenSanctions,psc_detained
HAI SOON 39,ck,Tokyo MOU (rétentions Asie-Pacifique),9188520,,OpenSanctions,psc_detained
KELANIS EXPRESS,dm,Tokyo MOU (rétentions Asie-Pacifique),9336476,,OpenSanctions,psc_detained
AGIA SOFIA,lr,Tokyo MOU (rétentions Asie-Pacifique),9706786,,OpenSanctions,psc_detained
NIKOS P,mh,Tokyo MOU (rétentions Asie-Pacifique),9329629,,OpenSanctions,psc_detained
MORNING FLORA,pa,Tokyo MOU (rétentions Asie-Pacifique),9859698,,OpenSanctions,psc_detained
BLACK PEARL,mh,Tokyo MOU (rétentions Asie-Pacifique),9579743,,OpenSanctions,psc_detained
MSC JASMINE,pa,Tokyo MOU (rétentions Asie-Pacifique),8420907,,OpenSanctions,psc_detained
WIN STARS,tg,Tokyo MOU (rétentions Asie-Pacifique),8550398,,OpenSanctions,psc_detained
SURYA VEERYA,lr,Tokyo MOU (rétentions Asie-Pacifique),9405887,,OpenSanctions,psc_detained
RG CERES,mh,Tokyo MOU (rétentions Asie-Pacifique),9310288,,OpenSanctions,psc_detained
FATEMA JAHAN II,bd,Tokyo MOU (rétentions Asie-Pacifique),9425772,,OpenSanctions,psc_detained
UNIPOWER,pa,Tokyo MOU (rétentions Asie-Pacifique),9167502,,OpenSanctions,psc_detained
POLAR STAR,sl,Tokyo MOU (rétentions Asie-Pacifique),9471666,,OpenSanctions,psc_detained
NEW BOUNDARY,pa,Tokyo MOU (rétentions Asie-Pacifique),9690511,,OpenSanctions,psc_detained
STOLT BISMUTH,lr,Tokyo MOU (rétentions Asie-Pacifique),9739290,,OpenSanctions,psc_detained
ETERNAL HAKATA,pa,Tokyo MOU (rétentions Asie-Pacifique),9650925,,OpenSanctions,psc_detained
XING NING 76,pa,Tokyo MOU (rétentions Asie-Pacifique),9214094,,OpenSanctions,psc_detained
HUA XIN 18,ga,Tokyo MOU (rétentions Asie-Pacifique),1049950,,OpenSanctions,psc_detained
KAI HANG 5,pa,Tokyo MOU (rétentions Asie-Pacifique),1016628,,OpenSanctions,psc_detained
NAVIOS KOYO,pa,Tokyo MOU (rétentions Asie-Pacifique),9598127,,OpenSanctions,psc_detained
DARYA RUCHI,mh,Tokyo MOU (rétentions Asie-Pacifique),9922299,,OpenSanctions,psc_detained
PHOENIX X,pa,Tokyo MOU (rétentions Asie-Pacifique),9233789,,OpenSanctions,psc_detained
GUO RUI,pa,Tokyo MOU (rétentions Asie-Pacifique),9128790,,OpenSanctions,psc_detained
MSC SOFIA PAZ,lr,Tokyo MOU (rétentions Asie-Pacifique),9695028,,OpenSanctions,psc_detained
SEA ODYSSEY,pa,Tokyo MOU (rétentions Asie-Pacifique),9303132,,OpenSanctions,psc_detained
WISH WAY,pa,Tokyo MOU (rétentions Asie-Pacifique),9578531,,OpenSanctions,psc_detained
RI HONG,pa,Tokyo MOU (rétentions Asie-Pacifique),9162318,,OpenSanctions,psc_detained
STAR REX,bz;kr;pa,Tokyo MOU (rétentions Asie-Pacifique),9376177,,OpenSanctions,psc_detained
TOR,lr,Tokyo MOU (rétentions Asie-Pacifique),9243617,,OpenSanctions,psc_detained
LIBERTY,us,Tokyo MOU (rétentions Asie-Pacifique),9310109,,OpenSanctions,psc_detained
XING NING 1,bz,Tokyo MOU (rétentions Asie-Pacifique),8591811,,OpenSanctions,psc_detained
CAPE COSMOS,pa,Tokyo MOU (rétentions Asie-Pacifique),9603374,,OpenSanctions,psc_detained
ZENITH ELITE,pa,Tokyo MOU (rétentions Asie-Pacifique),9832028,,OpenSanctions,psc_detained
PROTECTOR ST.RAPHAEL,lr,Tokyo MOU (rétentions Asie-Pacifique),9583615,,OpenSanctions,psc_detained
ANDROS VIEW,lr,Tokyo MOU (rétentions Asie-Pacifique),9548237,,OpenSanctions,psc_detained
SILVER DREAM,sl,Tokyo MOU (rétentions Asie-Pacifique),9359222,,OpenSanctions,psc_detained
CONDOR EXPRESS,pa,Tokyo MOU (rétentions Asie-Pacifique),9184902,,OpenSanctions,psc_detained
JIN NING 18,pa,Tokyo MOU (rétentions Asie-Pacifique),9635561,,OpenSanctions,psc_detained
QI XIAN LING,cn,Tokyo MOU (rétentions Asie-Pacifique),9656864,,OpenSanctions,psc_detained
CAPE MORETON,mh,Tokyo MOU (rétentions Asie-Pacifique),9308405,,OpenSanctions,psc_detained
SEREN,hk,Tokyo MOU (rétentions Asie-Pacifique),9458391,,OpenSanctions,psc_detained
GAO XIN 6,bz,Tokyo MOU (rétentions Asie-Pacifique),9526849,,OpenSanctions,psc_detained
MING DA,sl,Tokyo MOU (rétentions Asie-Pacifique),9124794,,OpenSanctions,psc_detained
IRENE II,mh,Tokyo MOU (rétentions Asie-Pacifique),9346354,,OpenSanctions,psc_detained
SAXONIA,pt,Tokyo MOU (rétentions Asie-Pacifique),9219393,,OpenSanctions,psc_detained
FAREAST HARMONY,hk,Tokyo MOU (rétentions Asie-Pacifique),9648582,,OpenSanctions,psc_detained
HALONA,pa,Tokyo MOU (rétentions Asie-Pacifique),9286920,,OpenSanctions,psc_detained
NORD POLARIS,pa,Tokyo MOU (rétentions Asie-Pacifique),9728198,,OpenSanctions,psc_detained
MASTRO MICHAEL,mt,Tokyo MOU (rétentions Asie-Pacifique),9498822,,OpenSanctions,psc_detained
ITHACA STOCKHOLM,pa,Tokyo MOU (rétentions Asie-Pacifique),9563392,,OpenSanctions,psc_detained
CMA CGM MOMBASA,mt,Tokyo MOU (rétentions Asie-Pacifique),9367815,,OpenSanctions,psc_detained
NORD YILAN,pa,Tokyo MOU (rétentions Asie-Pacifique),9573907,,OpenSanctions,psc_detained
RTM TWARRA,sg,Tokyo MOU (rétentions Asie-Pacifique),9373034,,OpenSanctions,psc_detained
FOUR BUTTERFLY,mt,Tokyo MOU (rétentions Asie-Pacifique),9480708,,OpenSanctions,psc_detained
GLORIOUS OCEAN,bz,Tokyo MOU (rétentions Asie-Pacifique),9145906,,OpenSanctions,psc_detained
ARAWANA,tv,Tokyo MOU (rétentions Asie-Pacifique),9640401,,OpenSanctions,psc_detained
CONTSHIP LEX,lr,Tokyo MOU (rétentions Asie-Pacifique),9346562,,OpenSanctions,psc_detained
CETUS CACHALOT,sg,Tokyo MOU (rétentions Asie-Pacifique),9483279,,OpenSanctions,psc_detained
CEMTEX EMINENCE,hk,Tokyo MOU (rétentions Asie-Pacifique),9940631,,OpenSanctions,psc_detained
ACE8,mn,Tokyo MOU (rétentions Asie-Pacifique),1138490,,OpenSanctions,psc_detained
LION,bb,Tokyo MOU (rétentions Asie-Pacifique),9370147,,OpenSanctions,psc_detained
MERAKLIS,bs,Tokyo MOU (rétentions Asie-Pacifique),9227819,,OpenSanctions,psc_detained
PVT AROMA,vn,Tokyo MOU (rétentions Asie-Pacifique),9334480,,OpenSanctions,psc_detained
PRILLY,id,Tokyo MOU (rétentions Asie-Pacifique),8816364,,OpenSanctions,psc_detained
HELLA,pt,Tokyo MOU (rétentions Asie-Pacifique),9535137,,OpenSanctions,psc_detained
UACC SHAMIYA,mh,Tokyo MOU (rétentions Asie-Pacifique),9458858,,OpenSanctions,psc_detained
BISHU HIGHWAY,jp,Tokyo MOU (rétentions Asie-Pacifique),9409340,,OpenSanctions,psc_detained
UNISON LEADER,tw,Tokyo MOU (rétentions Asie-Pacifique),9172387,,OpenSanctions,psc_detained
SILVER STAR,vn,Tokyo MOU (rétentions Asie-Pacifique),9303053,,OpenSanctions,psc_detained
NYMPH,pa,Tokyo MOU (rétentions Asie-Pacifique),9549360,,OpenSanctions,psc_detained
ESTELA CLAIRE,pa,Tokyo MOU (rétentions Asie-Pacifique),9785615,,OpenSanctions,psc_detained
S MERMAID,kr,Tokyo MOU (rétentions Asie-Pacifique),9344887,,OpenSanctions,psc_detained
JIAN YANG CHENG XIANG,cn,Tokyo MOU (rétentions Asie-Pacifique),9812444,,OpenSanctions,psc_detained
EVER HARVEST,pw,Tokyo MOU (rétentions Asie-Pacifique),9140504,,OpenSanctions,psc_detained
TOMINI OROSHI,mh,Tokyo MOU (rétentions Asie-Pacifique),9714795,,OpenSanctions,psc_detained
WESTERN MARINE,mh,Tokyo MOU (rétentions Asie-Pacifique),9577549,,OpenSanctions,psc_detained
PATAGONIA,mh,Tokyo MOU (rétentions Asie-Pacifique),9591832,,OpenSanctions,psc_detained
SUPER RUBY,mh,Tokyo MOU (rétentions Asie-Pacifique),9308120,,OpenSanctions,psc_detained
DESERT RHAPSODY,mh,Tokyo MOU (rétentions Asie-Pacifique),9321005,,OpenSanctions,psc_detained
MERMAID,bz,Tokyo MOU (rétentions Asie-Pacifique),9505156,,OpenSanctions,psc_detained
CSSC YUAN JING,hk,Tokyo MOU (rétentions Asie-Pacifique),9830056,,OpenSanctions,psc_detained
RISUN9,bz,Tokyo MOU (rétentions Asie-Pacifique),9223734,,OpenSanctions,psc_detained
EXEED,pa,Tokyo MOU (rétentions Asie-Pacifique),9228033,,OpenSanctions,psc_detained
VALUE NANCY,lr,Tokyo MOU (rétentions Asie-Pacifique),9233387,,OpenSanctions,psc_detained
SEA BRIDGE,bz,Tokyo MOU (rétentions Asie-Pacifique),9207481,,OpenSanctions,psc_detained
AQUARIUS,vn,Tokyo MOU (rétentions Asie-Pacifique),9393008,,OpenSanctions,psc_detained
D QUEENS,pa,Tokyo MOU (rétentions Asie-Pacifique),9300130,,OpenSanctions,psc_detained
GS FABULOUS,sg,Tokyo MOU (rétentions Asie-Pacifique),9421269,,OpenSanctions,psc_detained
MAERSK BEAUFORT,sg,Tokyo MOU (rétentions Asie-Pacifique),9340594,,OpenSanctions,psc_detained
KEERA,pg,Tokyo MOU (rétentions Asie-Pacifique),8501373,,OpenSanctions,psc_detained
LOI HOPE,kr,Tokyo MOU (rétentions Asie-Pacifique),9478080,,OpenSanctions,psc_detained
MSC NADIA IV,cy,Tokyo MOU (rétentions Asie-Pacifique),9321897,,OpenSanctions,psc_detained
OTANA BHUM,sg,Tokyo MOU (rétentions Asie-Pacifique),9338319,,OpenSanctions,psc_detained
ULRIKEN,no,Tokyo MOU (rétentions Asie-Pacifique),9325843,,OpenSanctions,psc_detained
PLATINUM,sl,Tokyo MOU (rétentions Asie-Pacifique),8649814,,OpenSanctions,psc_detained
KC HADONG,lr,Tokyo MOU (rétentions Asie-Pacifique),9161687,,OpenSanctions,psc_detained
TAO MARINER,pa,Tokyo MOU (rétentions Asie-Pacifique),9487574,,OpenSanctions,psc_detained
SUNGARI,tg;tz,Tokyo MOU (rétentions Asie-Pacifique),9512434,,OpenSanctions,psc_detained
DE HAN NO. 1,pa,Tokyo MOU (rétentions Asie-Pacifique),9392614,,OpenSanctions,psc_detained
NICOSIA PEGASUS,cy,Tokyo MOU (rétentions Asie-Pacifique),9624665,,OpenSanctions,psc_detained
ANGLO BARINTHUS,gb,Tokyo MOU (rétentions Asie-Pacifique),9660566,,OpenSanctions,psc_detained
MAA SALEHA BEGUM,bd,Tokyo MOU (rétentions Asie-Pacifique),9213155,,OpenSanctions,psc_detained
YM UTILITY,lr,Tokyo MOU (rétentions Asie-Pacifique),9337470,,OpenSanctions,psc_detained
PAPU,lr,Tokyo MOU (rétentions Asie-Pacifique),9377561,,OpenSanctions,psc_detained
ALINYA,th,Tokyo MOU (rétentions Asie-Pacifique),9401403,,OpenSanctions,psc_detained
HIGH SPEED,pa,Tokyo MOU (rétentions Asie-Pacifique),9179775,,OpenSanctions,psc_detained
BEST TRAVELLER,pa,Tokyo MOU (rétentions Asie-Pacifique),9116644,,OpenSanctions,psc_detained
HAIAN CITY,vn,Tokyo MOU (rétentions Asie-Pacifique),9445007,,OpenSanctions,psc_detained
GOLD LUCKY,bz;tg,Tokyo MOU (rétentions Asie-Pacifique),8681410,,OpenSanctions,psc_detained
NORTHWIND,pa,Tokyo MOU (rétentions Asie-Pacifique),9577472,,OpenSanctions,psc_detained
UGO DE CARLINI,it,Tokyo MOU (rétentions Asie-Pacifique),9511466,,OpenSanctions,psc_detained
SKYWALKER,lr,Tokyo MOU (rétentions Asie-Pacifique),9724740,,OpenSanctions,psc_detained
CSL ARGOSY,bs,Tokyo MOU (rétentions Asie-Pacifique),7915412,,OpenSanctions,psc_detained
MAKASSAR STRAIT,id,Tokyo MOU (rétentions Asie-Pacifique),8358506,,OpenSanctions,psc_detained
SAMSTAR,cm,Tokyo MOU (rétentions Asie-Pacifique),9129639,,OpenSanctions,psc_detained
UMM AL AISH,kw,Tokyo MOU (rétentions Asie-Pacifique),9534781,,OpenSanctions,psc_detained
JI BAO,pa,Tokyo MOU (rétentions Asie-Pacifique),9108506,,OpenSanctions,psc_detained
TUO FU 11,pa,Tokyo MOU (rétentions Asie-Pacifique),9084164,,OpenSanctions,psc_detained
CAPTAINYANNIS L,mh,Tokyo MOU (rétentions Asie-Pacifique),9343546,,OpenSanctions,psc_detained
CHAKRAVATI,mh,Tokyo MOU (rétentions Asie-Pacifique),9324071,,OpenSanctions,psc_detained
LI FUNG,sl,Tokyo MOU (rétentions Asie-Pacifique),9107241,,OpenSanctions,psc_detained
SINGAPORE BRIDGE,mh,Tokyo MOU (rétentions Asie-Pacifique),9224348,,OpenSanctions,psc_detained
GENERAL NO.1,sl,Tokyo MOU (rétentions Asie-Pacifique),9120437,,OpenSanctions,psc_detained
RIN TREASURE,lr,Tokyo MOU (rétentions Asie-Pacifique),9515527,,OpenSanctions,psc_detained
PMS STEINBOCK,mh,Tokyo MOU (rétentions Asie-Pacifique),9617739,,OpenSanctions,psc_detained
JUNE XIN,bz,Tokyo MOU (rétentions Asie-Pacifique),9146209,,OpenSanctions,psc_detained
HUI HUANG,mn,Tokyo MOU (rétentions Asie-Pacifique),9084956,,OpenSanctions,psc_detained
SUNG JIN,mn,Tokyo MOU (rétentions Asie-Pacifique),8877825,,OpenSanctions,psc_detained
